"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","dram__bytes_read.sum","dram__bytes_write.sum","gpu__time_duration.sum","l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum","l1tex__t_bytes_lookup_hit.sum","l1tex__t_bytes_lookup_miss.sum","lts__t_requests_lookup_hit.sum","lts__t_requests_lookup_miss.sum","lts__t_sectors_lookup_hit.sum","lts__t_sectors_lookup_miss.sum","sm__sass_branch_targets.avg","sm__sass_branch_targets_threads_divergent.sum","smsp__average_warps_issue_stalled_barrier_per_issue_active.pct","smsp__warp_issue_stalled_branch_resolving_per_warp_active.pct","smsp__warp_issue_stalled_lg_throttle_per_warp_active.pct","smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct","smsp__warp_issue_stalled_math_pipe_throttle_per_warp_active.pct","smsp__warp_issue_stalled_membar_per_warp_active.pct","smsp__warp_issue_stalled_mio_throttle_per_warp_active.pct","smsp__warp_issue_stalled_no_instruction_per_warp_active.pct","smsp__warp_issue_stalled_short_scoreboard_per_warp_active.pct","smsp__warp_issue_stalled_wait_per_warp_active.pct"
"","","","","","","","","","","","Mbyte","Mbyte","ms","","Mbyte","Mbyte","request","request","sector","sector","branches","branches","%","%","%","%","%","%","%","%","%","%"
"23","3190","snp_profile","127.0.0.1","consumeSpikesAndProduceKernel(int, int, int *, int *, int *, const int *, const int *, const int *, const int *, const int *, const int *)","1","7","(128, 1, 1)","(48, 1, 1)","0","7.5","75.322016","1.498560","4.463616","0","14.031008","194.864800","4325282.000000","404813.000000","4519162.000000","1595269.000000","9883.175000","0.000000","0","4.638997","0","82.987911","0.000002","0","0","0.362069","0.001732","9.207206"
"24","3190","snp_profile","127.0.0.1","updateDelaysAndEmitKernel(int, int, int *, int *, int *, const int *, const int *)","1","7","(128, 1, 1)","(48, 1, 1)","0","7.5","0.032608","0.000064","0.003872","0","0.000000","0.024576","125.000000","411.000000","850.000000","867.000000","0.000000","0.000000","0","0.803323","0","34.081349","0.000000","0","0","6.509546","2.238789","6.694165"
"25","3190","snp_profile","127.0.0.1","computeSpikingVectorKernel(int, const int *, const int *, int *, const int *, const int *, const int *)","1","7","(128, 1, 1)","(48, 1, 1)","0","7.5","0.372064","0.017536","0.008800","0","0.475104","0.245760","2313.000000","3643.000000","4682.000000","7011.000000","28.825000","1.000000","0","1.012731","0","60.539095","0.004990","0","0","2.976273","0.864167","10.988530"
"26","3190","snp_profile","127.0.0.1","consumeSpikesAndProduceKernel(int, int, int *, int *, int *, const int *, const int *, const int *, const int *, const int *, const int *)","1","7","(128, 1, 1)","(48, 1, 1)","0","7.5","75.461312","1.522368","4.519424","0","13.995392","194.834880","4322406.000000","405380.000000","4516086.000000","1594185.000000","9883.175000","0.000000","0","4.623286","0","83.450101","0.000002","0","0","0.360943","0.001729","9.178403"
"27","3190","snp_profile","127.0.0.1","updateDelaysAndEmitKernel(int, int, int *, int *, int *, const int *, const int *)","1","7","(128, 1, 1)","(48, 1, 1)","0","7.5","0.032544","0.000000","0.003840","0","0.000000","0.024576","131.000000","411.000000","858.000000","867.000000","0.000000","0.000000","0","0.754370","0","32.113888","0.000000","0","0","6.063612","2.125350","6.313783"
"28","3190","snp_profile","127.0.0.1","computeSpikingVectorKernel(int, const int *, const int *, int *, const int *, const int *, const int *)","1","7","(128, 1, 1)","(48, 1, 1)","0","7.5","0.369120","0.020608","0.009120","0","0.540640","0.245760","2321.000000","3643.000000","4693.000000","7011.000000","32.025000","1.000000","0","1.049565","0","60.314035","0.005186","0","0","3.017697","0.858141","11.616466"
"29","3190","snp_profile","127.0.0.1","consumeSpikesAndProduceKernel(int, int, int *, int *, int *, const int *, const int *, const int *, const int *, const int *, const int *)","1","7","(128, 1, 1)","(48, 1, 1)","0","7.5","75.297792","1.496288","4.402048","0","14.004768","194.759968","4319681.000000","404352.000000","4513195.000000","1594300.000000","9883.175000","0.000000","0","4.629134","0","81.554603","0.000001","0","0","0.361531","0.001726","9.190795"
"30","3190","snp_profile","127.0.0.1","updateDelaysAndEmitKernel(int, int, int *, int *, int *, const int *, const int *)","1","7","(128, 1, 1)","(48, 1, 1)","0","7.5","0.032480","0.000064","0.003872","0","0.000000","0.024576","122.000000","411.000000","847.000000","867.000000","0.000000","0.000000","0","0.784336","0","33.252202","0.000000","0","0","6.268989","2.182575","6.531194"
"31","3190","snp_profile","127.0.0.1","computeSpikingVectorKernel(int, const int *, const int *, int *, const int *, const int *, const int *)","1","7","(128, 1, 1)","(48, 1, 1)","0","7.5","0.370912","0.012672","0.009248","0","0.606176","0.245760","2321.000000","3643.000000","4693.000000","7011.000000","35.225000","1.000000","0","1.077771","0","61.124498","0.005330","0","0","2.936833","0.847249","12.120209"
"32","3190","snp_profile","127.0.0.1","consumeSpikesAndProduceKernel(int, int, int *, int *, int *, const int *, const int *, const int *, const int *, const int *, const int *)","1","7","(128, 1, 1)","(48, 1, 1)","0","7.5","75.388704","1.542912","4.460800","0","13.995488","194.703712","4318863.000000","404765.000000","4512399.000000","1595508.000000","9883.175000","0.000000","0","4.597904","0","81.945190","0.000003","0","0","0.359072","0.001715","9.129974"
