"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","dram__bytes_read.sum","dram__bytes_write.sum","gpu__time_duration.sum","l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum","l1tex__t_bytes_lookup_hit.sum","l1tex__t_bytes_lookup_miss.sum","lts__t_requests_lookup_hit.sum","lts__t_requests_lookup_miss.sum","lts__t_sectors_lookup_hit.sum","lts__t_sectors_lookup_miss.sum","sm__sass_branch_targets.avg","sm__sass_branch_targets_threads_divergent.sum","smsp__average_warps_issue_stalled_barrier_per_issue_active.pct","smsp__warp_issue_stalled_branch_resolving_per_warp_active.pct","smsp__warp_issue_stalled_lg_throttle_per_warp_active.pct","smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct","smsp__warp_issue_stalled_math_pipe_throttle_per_warp_active.pct","smsp__warp_issue_stalled_membar_per_warp_active.pct","smsp__warp_issue_stalled_mio_throttle_per_warp_active.pct","smsp__warp_issue_stalled_no_instruction_per_warp_active.pct","smsp__warp_issue_stalled_short_scoreboard_per_warp_active.pct","smsp__warp_issue_stalled_wait_per_warp_active.pct"
"","","","","","","","","","","","Mbyte","Mbyte","us","","Mbyte","Mbyte","request","request","sector","sector","branches","branches","%","%","%","%","%","%","%","%","%","%"
"38","4382","snp_profile","127.0.0.1","<unnamed>::clearSpikeProductionKernel(<unnamed>::DeviceNeuronData)","1","13","(64, 1, 1)","(32, 1, 1)","0","7.5","0.006112","0.000416","4.032000","0","0.000000","0.018432","131.000000","359.000000","1298.000000","169.000000","0.000000","0.000000","0","0.821606","0.000000","31.992875","0.000000","0","0.000000","6.998090","1.957732","7.702553"
"39","4382","snp_profile","127.0.0.1","<unnamed>::updateNeuronDynamicsKernel(<unnamed>::DeviceNeuronData, <unnamed>::DeviceRuleData)","1","13","(64, 1, 1)","(32, 1, 1)","0","7.5","0.090048","0.000320","7.904000","0","0.008160","0.075648","216.000000","992.000000","1589.000000","2228.000000","3.225000","1.000000","0","0.896181","0.000000","71.512186","0.000000","0","0.000000","2.385339","0.584341","5.936001"
"40","4382","snp_profile","127.0.0.1","<unnamed>::populateExportBufferKernel(<unnamed>::DeviceNeuronData, <unnamed>::DeviceExportSynapseData, int *)","1","13","(64, 1, 1)","(65536, 1, 1)","0","7.5","62.754688","1.374624","265.728000","0","11.996096","67.580992","148074.000000","394186.000000","539549.000000","1574631.000000","3276.800000","0.000000","0","1.546168","0.639767","59.468683","0.194670","0","0.157004","0.620718","2.259858","11.820443"
"41","4382","snp_profile","127.0.0.1","<unnamed>::clearSpikeProductionKernel(<unnamed>::DeviceNeuronData)","1","13","(64, 1, 1)","(32, 1, 1)","0","7.5","0.005920","0.000160","3.936000","0","0.000000","0.018432","130.000000","360.000000","1305.000000","149.000000","0.000000","0.000000","0","0.824331","0.000000","30.387532","0.000000","0","0.000000","7.129172","1.964225","7.728100"
"42","4382","snp_profile","127.0.0.1","<unnamed>::updateNeuronDynamicsKernel(<unnamed>::DeviceNeuronData, <unnamed>::DeviceRuleData)","1","13","(64, 1, 1)","(32, 1, 1)","0","7.5","0.089920","0.000064","7.936000","0","0.008160","0.075648","223.000000","992.000000","1596.000000","2228.000000","3.225000","1.000000","0","0.901527","0.000000","71.832107","0.000000","0","0.000000","2.458929","0.587826","5.971410"
"43","4382","snp_profile","127.0.0.1","<unnamed>::populateExportBufferKernel(<unnamed>::DeviceNeuronData, <unnamed>::DeviceExportSynapseData, int *)","1","13","(64, 1, 1)","(65536, 1, 1)","0","7.5","62.975808","1.334784","267.552000","0","12.004768","67.564128","150227.000000","394575.000000","542379.000000","1574981.000000","3276.800000","0.000000","0","1.544757","0.637989","59.395235","0.196072","0","0.156110","0.619440","2.263845","11.808394"
"44","4382","snp_profile","127.0.0.1","<unnamed>::clearSpikeProductionKernel(<unnamed>::DeviceNeuronData)","1","13","(64, 1, 1)","(32, 1, 1)","0","7.5","0.005856","0.000000","3.968000","0","0.000000","0.018432","124.000000","360.000000","1292.000000","149.000000","0.000000","0.000000","0","0.815235","0.000000","30.915228","0.000000","0","0.000000","7.028215","1.942551","7.642825"
"45","4382","snp_profile","127.0.0.1","<unnamed>::updateNeuronDynamicsKernel(<unnamed>::DeviceNeuronData, <unnamed>::DeviceRuleData)","1","13","(64, 1, 1)","(32, 1, 1)","0","7.5","0.089184","0.000224","7.936000","0","0.008128","0.075520","491.000000","992.000000","1872.000000","2221.000000","3.225000","1.000000","0","0.911802","0.000000","73.820832","0.000000","0","0.000000","2.475728","0.595502","6.039469"
"46","4382","snp_profile","127.0.0.1","<unnamed>::populateExportBufferKernel(<unnamed>::DeviceNeuronData, <unnamed>::DeviceExportSynapseData, int *)","1","13","(64, 1, 1)","(65536, 1, 1)","0","7.5","62.739520","1.333120","266.560000","0","12.003424","67.557280","148203.000000","394186.000000","539287.000000","1574669.000000","3276.800000","0.000000","0","1.543091","0.632254","59.472036","0.194333","0","0.166567","0.619159","2.245829","11.795652"
"47","4382","snp_profile","127.0.0.1","<unnamed>::clearSpikeProductionKernel(<unnamed>::DeviceNeuronData)","1","13","(64, 1, 1)","(32, 1, 1)","0","7.5","0.005984","0.000000","4.000000","0","0.000000","0.018432","141.000000","360.000000","1317.000000","149.000000","0.000000","0.000000","0","0.815027","0.000000","30.095511","0.000000","0","0.000000","7.082139","1.954791","7.640879"
